Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,2010,2017,2018,2020
AFG,Afghanistan,40884,Survival Rate from Age 15-60,Ratio,0.747581243515015,0.7797,0.780381858348846,0.78774082660675
AFG,Afghanistan,40885,"Survival Rate from Age 15-60, Female",Ratio,0.7713922262191769,0.8018,0.8037744760513309,0.8111605644226071
AFG,Afghanistan,40886,"Survival Rate from Age 15-60, Male",Ratio,0.725200176239014,0.7597,0.7587756514549259,0.7661162018775941
AFG,Afghanistan,40887,Human Capital Index (HCI) (scale 0-1),Score,,0.389,0.39348924160003707,0.400284141302109
AFG,Afghanistan,40888,"Human Capital Index (HCI), Female (scale 0-1)",Score,,0.363,0.363862872123718,0.36852398514747603
AFG,Afghanistan,40889,"Human Capital Index (HCI), Lower Bound (scale 0-1)",Score,,0.376,0.38103246688842796,0.38714861869811995
AFG,Afghanistan,40890,"Human Capital Index (HCI), Female, Lower Bound (scale 0-1)",Score,,0.35,0.351570188999176,0.355721712112427
AFG,Afghanistan,40891,"Human Capital Index (HCI), Male, Lower Bound (scale 0-1)",Score,,0.37799999999999995,0.38912296295166,0.394788265228271
AFG,Afghanistan,40892,"Human Capital Index (HCI), Male (scale 0-1)",Score,,0.395,0.405022948980331,0.411275178194046
AFG,Afghanistan,40893,"Human Capital Index (HCI), Upper Bound (scale 0-1)",Score,,0.40299999999999997,0.4053017199039461,0.41261726617813105
AFG,Afghanistan,40894,"Human Capital Index (HCI), Female, Upper Bound (scale 0-1)",Score,,0.375,0.375342547893524,0.38044434785842896
AFG,Afghanistan,40895,"Human Capital Index (HCI), Male, Upper Bound (scale 0-1)",Score,,0.41200000000000003,0.42040342092514,0.427129328250885
AFG,Afghanistan,40896,Fraction of Children Under 5 Not Stunted,%,0.5958645939826971,0.591,0.5958645939826971,0.618072211742401
AFG,Afghanistan,40897,"Fraction of Children Under 5 Not Stunted, Female",%,0.6050927639007571,,0.6050927639007571,0.618776202201843
AFG,Afghanistan,40898,"Fraction of Children Under 5 Not Stunted, Male",%,0.586935997009277,,0.586935997009277,0.617406904697418
AFG,Afghanistan,40958,Expected Years of School,Years,,8.58,8.720339775085451,8.90189075469971
AFG,Afghanistan,40959,"Expected Years of School, Female",Years,,6.73,6.79572248458862,6.91584062576294
AFG,Afghanistan,40960,"Expected Years of School, Male",Years,,9.21,9.5441370010376,9.65538787841797
AFG,Afghanistan,40961,Harmonized Test Scores,Score,,355,354.7587890625,354.7587890625
AFG,Afghanistan,40962,"Harmonized Test Scores, Female",Score,,350,350.146148681641,
AFG,Afghanistan,40963,"Harmonized Test Scores, Male",Score,,358,357.794738769531,357.794738769531
AFG,Afghanistan,40964,Learning-Adjusted Years of School,Years,,4.87,4.949787616729741,5.05283832550049
AFG,Afghanistan,40965,"Learning-Adjusted Years of School, Female",Years,,3.77,3.8071937561035196,3.87448787689209
AFG,Afghanistan,40966,"Learning-Adjusted Years of School, Male",Years,,5.27,5.46374702453613,5.5274348258972195
AFG,Afghanistan,40967,Probability of Survival to Age 5,Probability,0.9120482802391049,0.9321,0.9352661371231079,0.937723577022552
AFG,Afghanistan,40968,"Probability of Survival to Age 5, Female",Probability,0.915823578834534,0.9363,0.938916444778442,0.9413247108459469
AFG,Afghanistan,40969,"Probability of Survival to Age 5, Male",Probability,0.908484041690826,0.9282,0.9318808317184449,0.934254705905914
AGO,Angola,40884,Survival Rate from Age 15-60,Ratio,0.6804263591766361,0.7638,0.7214807271957401,0.729358732700348
AGO,Angola,40885,"Survival Rate from Age 15-60, Female",Ratio,0.734374165534973,0.8,0.77623850107193,0.78317928314209
AGO,Angola,40886,"Survival Rate from Age 15-60, Male",Ratio,0.630774855613709,0.7266,0.669002175331116,0.676909208297729
AGO,Angola,40887,Human Capital Index (HCI) (scale 0-1),Score,,0.361,0.36019095778465293,0.36240538954734797
AGO,Angola,40888,"Human Capital Index (HCI), Female (scale 0-1)",Score,,0.358,0.35377603769302396,0.35570642352104204
AGO,Angola,40889,"Human Capital Index (HCI), Lower Bound (scale 0-1)",Score,,0.326,0.328303992748261,0.32986369729042
AGO,Angola,40890,"Human Capital Index (HCI), Female, Lower Bound (scale 0-1)",Score,,0.325,0.323766797780991,0.325340896844864
AGO,Angola,40891,"Human Capital Index (HCI), Male, Lower Bound (scale 0-1)",Score,,0.326,0.329787015914917,0.33140933513641396
AGO,Angola,40892,"Human Capital Index (HCI), Male (scale 0-1)",Score,,0.365,0.36680388450622603,0.36915817856788596
AGO,Angola,40893,"Human Capital Index (HCI), Upper Bound (scale 0-1)",Score,,0.387,0.383449137210846,0.38537451624870295
AGO,Angola,40894,"Human Capital Index (HCI), Female, Upper Bound (scale 0-1)",Score,,0.381,0.375477969646454,0.377216368913651
AGO,Angola,40895,"Human Capital Index (HCI), Male, Upper Bound (scale 0-1)",Score,,0.39399999999999996,0.395108729600906,0.397130608558655
AGO,Angola,40896,Fraction of Children Under 5 Not Stunted,%,0.7080000042915341,0.6243,0.624288558959961,0.624288558959961
AGO,Angola,40897,"Fraction of Children Under 5 Not Stunted, Female",%,0.7080000042915341,0.6586,0.658562660217285,0.658562660217285
AGO,Angola,40898,"Fraction of Children Under 5 Not Stunted, Male",%,0.7080000042915341,0.5899,0.589939296245575,0.589939296245575
AGO,Angola,40958,Expected Years of School,Years,,7.89,8.12006568908691,8.12006568908691
AGO,Angola,40959,"Expected Years of School, Female",Years,,7.07,6.973901271820071,6.973901271820071
AGO,Angola,40960,"Expected Years of School, Male",Years,,8.69,9.24362468719482,9.24362468719482
AGO,Angola,40961,Harmonized Test Scores,Score,,326,325.965484619141,325.965484619141
AGO,Angola,40962,"Harmonized Test Scores, Female",Score,,325,324.924713134766,324.924713134766
AGO,Angola,40963,"Harmonized Test Scores, Male",Score,,327,326.810150146484,326.810150146484
AGO,Angola,40964,Learning-Adjusted Years of School,Years,,4.11,4.23497772216797,4.23497772216797
AGO,Angola,40965,"Learning-Adjusted Years of School, Female",Years,,3.68,3.6255884170532204,3.6255884170532204
AGO,Angola,40966,"Learning-Adjusted Years of School, Male",Years,,4.54,4.83345651626587,4.83345651626587
AGO,Angola,40967,Probability of Survival to Age 5,Probability,0.879509627819061,0.9189,0.9195580482482909,0.922835469245911
AGO,Angola,40968,"Probability of Survival to Age 5, Female",Probability,0.8878021240234379,0.9251,0.9259848594665531,0.928930759429932
AGO,Angola,40969,"Probability of Survival to Age 5, Male",Probability,0.871710300445557,0.9131,0.913508772850037,0.917002379894257
ALB,Albania,40884,Survival Rate from Age 15-60,Ratio,0.918709218502045,0.9365,0.9277925491333009,0.929365992546082
ALB,Albania,40885,"Survival Rate from Age 15-60, Female",Ratio,0.944311022758484,0.9503,0.9501160383224491,0.9509117007255551
ALB,Albania,40886,"Survival Rate from Age 15-60, Male",Ratio,0.8938163518905641,0.9227,0.9055499434471129,0.9078208804130551
ALB,Albania,40887,Human Capital Index (HCI) (scale 0-1),Score,0.54360294342041,0.621,0.628666281700134,0.6342509388923651
ALB,Albania,40888,"Human Capital Index (HCI), Female (scale 0-1)",Score,0.5652705430984499,0.637,0.6624643206596371,0.664508581161499
ALB,Albania,40889,"Human Capital Index (HCI), Lower Bound (scale 0-1)",Score,0.532257914543152,0.608,0.6159194111824039,0.624725520610809
ALB,Albania,40890,"Human Capital Index (HCI), Female, Lower Bound (scale 0-1)",Score,0.5532432794570921,0.624,0.648584246635437,0.6530561447143549
ALB,Albania,40891,"Human Capital Index (HCI), Male, Lower Bound (scale 0-1)",Score,0.50961297750473,0.589,0.582826256752014,0.5954329371452329
ALB,Albania,40892,"Human Capital Index (HCI), Male (scale 0-1)",Score,0.5239799022674559,0.606,0.598655641078949,0.6080027222633361
ALB,Albania,40893,"Human Capital Index (HCI), Upper Bound (scale 0-1)",Score,0.5548062324523929,0.634,0.64091557264328,0.643478035926819
ALB,Albania,40894,"Human Capital Index (HCI), Female, Upper Bound (scale 0-1)",Score,0.577517807483673,0.65,0.675915539264679,0.675461173057556
ALB,Albania,40895,"Human Capital Index (HCI), Male, Upper Bound (scale 0-1)",Score,0.538223922252655,0.622,0.6138885617256159,0.6196302175521851
ALB,Albania,40896,Fraction of Children Under 5 Not Stunted,%,0.76812469959259,0.7681,0.886766493320465,0.886766493320465
ALB,Albania,40897,"Fraction of Children Under 5 Not Stunted, Female",%,0.7637066841125492,0.7637,0.889984011650085,0.889984011650085
ALB,Albania,40898,"Fraction of Children Under 5 Not Stunted, Male",%,0.7725718021392819,0.7726,0.883676111698151,0.883676111698151
ALB,Albania,40958,Expected Years of School,Years,11.6156501770019,12.99,12.8855075836182,12.889381408691401
ALB,Albania,40959,"Expected Years of School, Female",Years,11.6912155151367,12.89,13.201754570007301,13.2685985565185
ALB,Albania,40960,"Expected Years of School, Male",Years,11.547945022583,13.08,12.610832214355499,12.5587759017944
ALB,Albania,40961,Harmonized Test Scores,Score,397.226867675781,429,429.329010009766,434.127593994141
ALB,Albania,40962,"Harmonized Test Scores, Female",Score,414.98654174804705,445,445.010406494141,444.322265625
ALB,Albania,40963,"Harmonized Test Scores, Male",Score,380.35208129882795,414,413.584289550781,424.344635009766
ALB,Albania,40964,Learning-Adjusted Years of School,Years,7.3824777603149405,8.92,8.85139560699463,8.95301818847656
ALB,Albania,40965,"Learning-Adjusted Years of School, Female",Years,7.762715339660651,9.18,9.39986896514893,9.43285369873047
ALB,Albania,40966,"Learning-Adjusted Years of School, Male",Years,7.02765560150146,8.66,8.34502792358398,8.52679920196533
ALB,Albania,40967,Probability of Survival to Age 5,Probability,0.9866953492164608,0.9912,0.990977764129639,0.991176664829254
ALB,Albania,40968,"Probability of Survival to Age 5, Female",Probability,0.987757682800293,0.9919,0.991616129875183,0.9917972087860111
ALB,Albania,40969,"Probability of Survival to Age 5, Male",Probability,0.985683441162109,0.9905,0.9903746843338009,0.9905825853347779
ARE,United Arab Emirates,40884,Survival Rate from Age 15-60,Ratio,0.921810865402222,0.9281,0.936866998672485,0.938642501831055
ARE,United Arab Emirates,40885,"Survival Rate from Age 15-60, Female",Ratio,0.941495716571808,0.9451,0.954503178596497,0.9557704329490658
ARE,United Arab Emirates,40886,"Survival Rate from Age 15-60, Male",Ratio,0.9149352908134459,0.9219,0.9295068979263309,0.9313839673995971
ARE,United Arab Emirates,40887,Human Capital Index (HCI) (scale 0-1),Score,0.6212740540504461,0.659,0.676001250743866,0.6730118989944461
ARE,United Arab Emirates,40888,"Human Capital Index (HCI), Female (scale 0-1)",Score,0.6525216698646551,,0.687744379043579,0.687648952007294
ARE,United Arab Emirates,40889,"Human Capital Index (HCI), Lower Bound (scale 0-1)",Score,0.610539436340332,0.643,0.6634679436683649,0.6617884039878851
ARE,United Arab Emirates,40890,"Human Capital Index (HCI), Female, Lower Bound (scale 0-1)",Score,0.6423131823539731,,0.6740534901618961,0.6754106879234311
ARE,United Arab Emirates,40891,"Human Capital Index (HCI), Male, Lower Bound (scale 0-1)",Score,0.584477484226227,,0.650748252868652,0.647887885570526
ARE,United Arab Emirates,40892,"Human Capital Index (HCI), Male (scale 0-1)",Score,0.597351372241974,,0.6676042675971979,0.660949110984802
ARE,United Arab Emirates,40893,"Human Capital Index (HCI), Upper Bound (scale 0-1)",Score,0.6314489245414731,0.6729999999999999,0.6880202293395999,0.683658003807068
ARE,United Arab Emirates,40894,"Human Capital Index (HCI), Female, Upper Bound (scale 0-1)",Score,0.662206172943115,,0.700840771198273,0.69959968328476
ARE,United Arab Emirates,40895,"Human Capital Index (HCI), Male, Upper Bound (scale 0-1)",Score,0.6102935671806341,,0.6841887831687931,0.673392832279205
ARE,United Arab Emirates,40958,Expected Years of School,Years,12.364461898803699,13.14,13.455805778503402,13.455805778503402
ARE,United Arab Emirates,40959,"Expected Years of School, Female",Years,12.526165962219201,,13.170265197753901,13.170265197753901
ARE,United Arab Emirates,40960,"Expected Years of School, Male",Years,12.2173366546631,,13.7200117111206,13.7200117111206
ARE,United Arab Emirates,40961,Harmonized Test Scores,Score,444.552093505859,451,451.341613769531,448.040679931641
ARE,United Arab Emirates,40962,"Harmonized Test Scores, Female",Score,460.817932128906,464,464.015441894531,463.413482666016
